layer,head,n,mean_effect,mean_abs_effect,std_effect
0,3,10,-1.374219,1.775781,2.298311
3,0,10,1.665625,1.665625,1.739312
3,5,10,1.412500,1.425000,1.031326
7,16,10,1.181250,1.181250,0.913741
1,5,10,-0.812500,1.031250,1.367736
0,15,10,-0.868750,1.000000,1.529323
1,2,10,-0.647656,0.977344,1.273195
14,23,10,-0.937500,0.937500,0.794512
7,22,10,0.440625,0.690625,0.644607
9,9,10,0.662500,0.681250,0.836637
11,24,10,0.668750,0.668750,0.756379
4,9,10,0.600000,0.656250,0.606089
12,1,10,0.620313,0.654687,0.670094
9,13,10,-0.468750,0.637500,0.625469
13,4,10,0.390625,0.515625,0.772356
10,26,10,0.501563,0.514062,0.795386
0,25,10,0.265625,0.496875,0.542212
10,2,10,-0.448437,0.495312,0.439507
2,3,10,0.204687,0.479687,0.598682
4,27,10,0.157812,0.479687,0.708502
5,13,10,0.423438,0.470313,0.388460
2,7,10,0.243750,0.462500,0.571593
4,20,10,0.292187,0.457813,0.533362
0,29,10,0.451562,0.451562,0.359881
3,3,10,0.287500,0.450000,0.479827
14,25,10,-0.385937,0.432812,0.472488
31,17,10,-0.421875,0.421875,0.218415
1,30,10,0.371875,0.390625,0.408515
9,18,10,0.312500,0.387500,0.345733
3,15,10,-0.323437,0.382812,0.458004
3,31,10,-0.314063,0.373437,0.363660
6,22,10,0.215625,0.371875,0.388670
11,4,10,-0.370312,0.370312,0.306827
12,12,10,0.240625,0.365625,0.588969
3,29,10,0.112500,0.362500,0.499257
13,5,10,-0.335938,0.357812,0.305168
12,19,10,-0.335938,0.345313,0.298045
9,0,10,0.214062,0.335938,0.365909
11,16,10,0.301563,0.329688,0.236351
3,18,10,0.067187,0.323437,0.414817
5,30,10,0.246875,0.321875,0.328779
15,1,10,-0.321875,0.321875,0.252739
1,29,10,-0.210938,0.314063,0.391390
0,24,10,0.120313,0.304688,0.403479
8,9,10,0.284375,0.296875,0.258998
11,3,10,0.271875,0.296875,0.482921
1,22,10,-0.250000,0.293750,0.227503
0,0,10,0.245312,0.289062,0.270096
3,13,10,0.189062,0.285938,0.276032
9,22,10,0.120313,0.285938,0.321894
13,24,10,-0.285938,0.285938,0.113117
1,12,10,0.109375,0.278125,0.341827
2,13,10,0.184375,0.278125,0.264962
6,11,10,0.240625,0.278125,0.349679
10,29,10,0.187500,0.275000,0.301688
14,5,10,-0.234375,0.271875,0.392869
1,21,10,0.079687,0.264062,0.315954
13,14,10,0.240625,0.259375,0.445693
7,7,10,-0.192188,0.257812,0.241258
9,8,10,0.223438,0.251563,0.349389
9,2,10,0.159375,0.246875,0.296941
7,13,10,0.210938,0.245312,0.355430
1,27,10,0.175000,0.237500,0.242947
6,2,10,-0.170313,0.235937,0.230959
10,15,10,0.184375,0.228125,0.240219
4,19,10,-0.025000,0.225000,0.270921
16,0,10,0.212500,0.225000,0.215058
1,0,10,0.189062,0.220312,0.334276
4,12,10,-0.179688,0.220312,0.201950
2,27,10,0.046875,0.215625,0.253972
4,10,10,-0.209375,0.215625,0.161807
5,5,10,-0.165625,0.215625,0.178454
2,4,10,0.204687,0.214062,0.170370
11,6,10,-0.204687,0.214062,0.202577
3,26,10,0.143750,0.212500,0.213874
5,25,10,-0.182812,0.210938,0.194661
1,14,10,0.159375,0.209375,0.247033
5,1,10,-0.165625,0.209375,0.235124
8,10,10,-0.153125,0.209375,0.212155
12,24,10,-0.171875,0.209375,0.137109
9,11,10,-0.179688,0.207813,0.182652
17,5,10,-0.089063,0.201563,0.237176
17,6,10,-0.193750,0.200000,0.131696
9,19,10,0.153125,0.196875,0.178672
1,17,10,0.160938,0.195312,0.184355
4,4,10,0.101562,0.195312,0.271826
0,11,10,0.075000,0.193750,0.246142
1,15,10,0.025000,0.193750,0.253414
6,19,10,0.062500,0.193750,0.275284
5,8,10,0.120313,0.192188,0.226001
5,28,10,-0.151562,0.192188,0.188545
3,30,10,-0.121875,0.190625,0.196875
10,1,10,-0.159375,0.190625,0.160231
1,23,10,0.134375,0.184375,0.171192
15,31,10,0.178125,0.184375,0.167734
1,10,10,0.167187,0.182812,0.193907
1,31,10,-0.145313,0.182812,0.236558
27,7,10,0.182812,0.182812,0.171455
10,27,10,0.181250,0.181250,0.105327
15,30,10,0.000000,0.181250,0.284701
8,22,10,0.129688,0.179688,0.262579
8,29,10,-0.095312,0.179688,0.191424
6,28,10,0.117188,0.176563,0.178050
8,4,10,0.148438,0.176563,0.174728
0,7,10,0.125000,0.175000,0.252333
4,31,10,0.118750,0.175000,0.283601
3,23,10,-0.051562,0.173437,0.216737
10,9,10,0.171875,0.171875,0.104816
26,3,10,0.171875,0.171875,0.167851
0,16,10,0.123438,0.170313,0.170942
6,29,10,0.089063,0.170313,0.188286
1,1,10,-0.087500,0.168750,0.217766
2,29,10,0.018750,0.168750,0.204060
12,20,10,0.168750,0.168750,0.120384
21,14,10,0.131250,0.168750,0.142385
7,9,10,0.154688,0.167187,0.150917
